Elbow Angle,Knee Angle,Hip Angle,Phase
171.80036954258685,140.57304684518908,103.46263063007197,Drive
173.03543567394772,143.74680643369422,106.92721663736069,Drive
174.6134858763986,146.763805174144,109.71496469658919,Drive
176.14312588208224,150.36700560160992,113.20244276505662,Drive
175.34253696401203,153.64904306692247,116.47035518472676,Drive
172.24586957439269,154.58516071508186,118.61088993157716,Drive
163.32600366513265,156.09575571506306,120.64111471657195,Drive
159.54554378290555,156.66923300073256,122.17632353506433,Drive
153.9978070975499,158.9766403997009,124.76320655508763,Drive
146.12134582041693,160.54373554302,126.50953836027799,Drive
136.87339796199421,162.95384074149328,129.4044054257298,Drive
126.36983266198271,163.06201099121037,131.16560153978327,Drive
120.534429556933,162.69699972693624,132.68123486153422,Drive
114.64898443350143,163.60067341994483,135.04928954814062,Drive
