Elbow Angle,Knee Angle,Hip Angle,Phase,Label
176.0197715338491,46.74665186357935,25.76161298572103,Catch,good
175.15045113598418,45.09302157645002,25.034522044832322,Catch,good
174.49213843221477,42.626384901139254,24.163436228472158,Catch,good
173.78331047306494,41.192762077186856,23.51149490215192,Catch,good
173.94630790615756,39.37446533453781,22.784151366567112,Catch,good
172.4387254196562,38.36626256144545,22.203504604100758,Catch,good
170.28048461221476,36.471968362234264,20.84021249398204,Catch,good
169.76083069236057,35.72598368797991,20.441653225535422,Catch,good
167.98967150444852,35.12923195121253,20.516139062665175,Catch,good
166.86775468369615,34.00320665569414,19.695654799750905,Catch,good
167.84022002324016,33.54172428593665,19.036442348486784,Catch,good
168.63570284393748,34.35537694219264,18.977765144072492,Catch,good
170.81500576632743,34.04328618009797,18.65655354605662,Catch,good
